type,country,code
INTJ,Algeria,DZA
INTJ,Georgia,GEO
INTJ,Poland,POL
INTJ,Paraguay,PRY
INTJ,Iraq,IRQ
INTJ,Libya,LBY
INTJ,Italy,ITA
INTJ,Morocco,MAR
INTJ,Bhutan,BTN
INTJ,Singapore,SGP
INTJ,Malaysia,MYS
INTJ,Jersey,JEY
INTJ,Haiti,HTI
INTP,Algeria,DZA
INTP,Morocco,MAR
INTP,Lithuania,LTU
INTP,Tunisia,TUN
INTP,Poland,POL
INTP,Latvia,LVA
INTP,Georgia,GEO
INTP,Argentina,ARG
INTP,Haiti,HTI
INTP,Fiji,FJI
INTP,Cameroon,CMR
INTP,Malaysia,MYS
INTP,Singapore,SGP
INTP,Ghana,GHA
INTP,Rwanda,RWA
INTP,Nigeria,NGA
ENTJ,Montenegro,MNE
ENTJ,Armenia,ARM
ENTJ,Albania,ALB
ENTJ,Uzbekistan,UZB
ENTJ,Georgia,GEO
ENTJ,Lebanon,LBN
ENTJ,Singapore,SGP
ENTJ,Malaysia,MYS
ENTJ,Guernsey,GGY
ENTJ,Guam,GUM
ENTJ,Macao,MAC
ENTP,Montenegro,MNE
ENTP,Serbia,SRB
ENTP,Tunisia,TUN
ENTP,Bulgaria,BGR
ENTP,Romania,ROU
ENTP,Lebanon,LBN
ENTP,Turkey,TUR
ENTP,Bhutan,BTN
ENTP,Singapore,SGP
ENTP,Malaysia,MYS
ENTP,Philippines,PHL
ENTP,Ghana,GHA
ENTP,Somalia,SOM
INFJ,Portugal,PRT
INFJ,Italy,ITA
INFJ,Maldives,MDV
INFJ,Brazil,BRA
INFJ,Chile,CHL
INFJ,Dominica,DMA
INFJ,Barbados,BRB
INFJ,Afghanistan,AFG
INFJ,Kyrgyzstan,KGZ
INFJ,Uzbekistan,UZB
INFJ,Nicaragua,NIC
INFJ,Macao,MAC
INFJ,Madagascar,MDG
INFJ,Yemen,YEM
INFJ,China,CHN
INFJ,Ukraine,UKR
INFP,Maldives,MDV
INFP,Portugal,PRT
INFP,Chile,CHL
INFP,Iceland,ISL
INFP,Guernsey,GGY
INFP,Uruguay,URY
INFP,Brazil,BRA
INFP,Afghanistan,AFG
INFP,Uzbekistan,UZB
INFP,Ghana,GHA
