title,name,type,img,cat
Encanto (2021),Bruno Madrigal,ISFJ,https://www.personality-database.com/profile_images/404557.png,Movies
Encanto (2021),Mirabel Madrigal,ENFP,https://www.personality-database.com/profile_images/217412.png,Movies
Encanto (2021),Isabela Madrigal,ESTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_3.png,Movies
Encanto (2021),Dolores Madrigal,ISFP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_3.png,Movies
Encanto (2021),Luisa Madrigal,ISFJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_3.png,Movies
Encanto (2021),Camilo Madrigal,ENTP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_3.png,Movies
Encanto (2021),Alma “Abuela” Madrigal,ISTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_3.png,Movies
Encanto (2021),Pepa Madrigal,ESFP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_3.png,Movies
Encanto (2021),Dead Fish,ISTP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_3.png,Movies
Encanto (2021),Félix,ESFJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_3.png,Movies
Encanto (2021),Butterfly,INFJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_3.png,Movies
Encanto (2021),Casita,ENFJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_3.png,Movies
Encanto (2021),Telenovela Aunt,INFJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_3.png,Movies
Encanto (2021),Agustín,INFP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_3.png,Movies
Encanto (2021),Julieta Madrigal,ISFJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_3.png,Movies
Encanto (2021),Miracle Candle,ENFJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_3.png,Movies
Encanto (2021),Unicorn,ESFP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_3.png,Movies
Encanto (2021),Donkey,ESTP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_3.png,Movies
Encanto (2021),Cerberus,ENTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_3.png,Movies
Encanto (2021),Rats,ENTP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_3.png,Movies
Encanto (2021),Señor Flores,ISFJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_3.png,Movies
Encanto (2021),Mariano Guzmán,ESFJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_3.png,Movies
Encanto (2021),Antonio Madrigal,INFP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_3.png,Movies
Encanto (2021),Osvaldo (Donkey Delivery Guy),ESFP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_3.png,Movies
Encanto (2021),Mother,ISFP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_3.png,Movies
Encanto (2021),Cactus Guy,ISTP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_3.png,Movies
Encanto (2021),Chispi,ISTP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_3.png,Movies
Encanto (2021),Broken Arm Guy,ISTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_3.png,Movies
Encanto (2021),Innocent Cecilia,INFP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_3.png,Movies
Encanto (2021),Town Kid #6,ENFP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_3.png,Movies
Encanto (2021),Town Kid #4,ENFJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_3.png,Movies
Encanto (2021),Hernando,ISTP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_3.png,Movies
Encanto (2021),Jorge,INTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_3.png,Movies
Encanto (2021),Señora Pezmuerto,ISFJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_3.png,Movies
Encanto (2021),Pedro Madrigal,ENFJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_3.png,Movies
Encanto (2021),Pico,ESFP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_3.png,Movies
Encanto (2021),"""Townsgirl""",INTP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_3.png,Movies
Encanto (2021),Parcé,ENFP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_3.png,Movies
Encanto (2021),Town Kid #7,ISFP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_3.png,Movies
Encanto (2021),Pumped Juancho,ESTP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_3.png,Movies
Encanto (2021),Alejandra,ENFP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_3.png,Movies
Encanto (2021),Señora Guzmán,ESFJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_3.png,Movies
