type,heros,villains,total
INTJ,2.857142857,8.888888889,11.74603175
INTP,7.142857143,3.333333333,10.47619048
ENTJ,4.285714286,12.22222222,16.50793651
ENTP,7.142857143,2.222222222,9.365079365
INFJ,7.142857143,1.111111111,8.253968254
INFP,4.285714286,3.333333333,7.619047619
ENFJ,1.428571429,12.22222222,13.65079365
ENFP,7.142857143,0,7.142857143
ISTJ,14.28571429,18.88888889,33.17460318
ISFJ,8.571428571,0,8.571428571
ESTJ,2.857142857,11.11111111,13.96825397
ESFJ,1.428571429,0,1.428571429
ISTP,7.142857143,14.44444444,21.58730158
ISFP,5.714285714,3.333333333,9.047619047
ESTP,10,7.777777778,17.77777778
ESFP,8.571428571,1.111111111,9.682539682
