,movies,series,anime,sports
ENFJ,4.018195603,5.624404194,5.960568547,4
ENFP,4.473085671,5.147759771,5.272810637,4.4
ENTJ,5.610310842,5.862726406,4.630903255,7.6
ENTP,5.610310842,5.815061964,7.015130674,5.2
ESFJ,6.444275967,6.95900858,5.685465383,3.6
ESFP,9.173616376,8.627264061,8.115543329,10
ESTJ,8.112206217,7.816968541,4.676753783,2.4
ESTP,8.036391205,10.43851287,7.977991747,10.8
INFJ,5.003790751,4.337464252,5.868867492,4
INFP,5.382865807,4.575786463,5.456212746,4
INTJ,4.624715694,4.480457579,7.198532783,6.8
INTP,4.700530705,3.670162059,5.272810637,3.6
ISFJ,7.808946171,7.149666349,7.381934892,6.4
ISFP,6.444275967,6.625357483,5.181109583,8
ISTJ,7.884761183,6.720686368,8.619899129,4.8
ISTP,6.671721001,6.14871306,5.685465383,14.4
