,movies,series,anime,sports,science,basketball,historical,football,mma,chess,fashion
ENFJ,4.02,5.62,5.96,4.00,1.68,0.68,7.33,6.67,1.35,2.80,4.02
ENFP,4.47,5.15,5.27,4.40,2.10,2.70,6.33,4.00,5.41,6.29,4.47
ENTJ,5.61,5.86,4.63,7.60,4.20,0.68,21.33,5.33,4.05,7.69,5.61
ENTP,5.61,5.82,7.02,5.20,15.13,4.05,8.00,2.67,3.38,13.29,5.61
ESFJ,6.44,6.96,5.69,3.60,0.00,4.73,0.67,3.33,3.38,3.50,6.44
ESFP,9.17,8.63,8.12,10.00,0.00,15.54,5.33,9.33,16.89,0.00,9.17
ESTJ,8.11,7.82,4.68,2.40,2.10,4.73,5.00,6.67,3.38,1.40,8.11
ESTP,8.04,10.44,7.98,10.80,1.68,12.16,5.33,12.67,16.89,2.10,8.04
INFJ,5.00,4.34,5.87,4.00,11.34,2.70,7.67,4.00,2.70,6.29,5.00
INFP,5.38,4.58,5.46,4.00,3.78,1.35,4.00,3.33,2.03,4.20,5.38
INTJ,4.62,4.48,7.20,6.80,26.47,2.03,10.33,6.00,2.03,8.39,4.62
INTP,4.70,3.67,5.27,3.60,22.69,2.03,2.33,2.67,1.35,26.57,4.70
ISFJ,7.81,7.15,7.38,6.40,1.26,3.38,2.67,6.67,4.05,0.00,7.81
ISFP,6.44,6.63,5.18,8.00,0.42,23.65,3.67,12.00,11.49,4.20,6.44
ISTJ,7.88,6.72,8.62,4.80,4.20,8.78,7.33,4.00,7.43,8.39,7.88
ISTP,6.67,6.15,5.69,14.40,2.94,10.81,2.67,10.67,14.19,4.90,6.67
